id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url
1188910,"[59.33617224538186,18.035714874432404]",Kronobergsgatan 28,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 500 000 kr</span>,Slutpris 3 500 000 kr,83 333 kr/m²,1 460 kr/mån,Såld 2020-05-20,Begärt pris 3 495 000 kr,"1,5 rum",42 m²,null,"/salda/lagenhet-1,5rum-kungsholmen-fridhemsplan-stockholms-kommun-kronobergsgatan-28-1188910",null,,https://bilder.hemnet.se/images/broker_logo_2/70/88/7088fe6ff6a4c2413ceb8481b3a51c7b.png
1189007,"[59.33106234866753,18.02437262654964]","Sysslomansgatan 22, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 025 000 kr</span>,Slutpris 3 025 000 kr,86 429 kr/m²,2 154 kr/mån,Såld 2020-05-20,Begärt pris 2 975 000 kr,2 rum,35 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-sysslomansgatan-22,-4-tr-1189007",null,+2 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
1189027,"[59.32916195602328,18.029197912772545]","Sankt Eriksgatan 4, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 5 650 000 kr</span>,Slutpris 5 650 000 kr,83 088 kr/m²,3 802 kr/mån,Såld 2020-05-20,Begärt pris 5 495 000 kr,2 rum,68 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-4,-3tr-1189027",null,+3 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png
1189041,"[59.33087516390648,18.048590167948973]","Kungsholmsgatan 11, 4tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 795 000 kr</span>,Slutpris 3 795 000 kr,90 357 kr/m²,3 290 kr/mån,Såld 2020-05-20,Begärt pris 3 795 000 kr,2 rum,42 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsholmsgatan-11,-4tr-1189041",null,,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png
1189226,"[59.33605470501705,18.031887532966138]","Fridhemsgatan 62, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 300 000 kr</span>,Slutpris 4 300 000 kr,86 000 kr/m²,2 019 kr/mån,Såld 2020-05-20,Begärt pris 4 100 000 kr,2 rum,50 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-fridhemsgatan-62,-4-tr-1189226",null,+5 %,https://bilder.hemnet.se/images/broker_logo_2/f8/ce/f8ce703998adb48113f2d029952181ab.png
1189479,"[59.332945830688416,18.040738269732955]","Wargentinsgatan 7, 3 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 535 000 kr</span>,Slutpris 3 535 000 kr,88 375 kr/m²,2 350 kr/mån,Såld 2020-05-20,Begärt pris 3 395 000 kr,2 rum,40 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-wargentinsgatan-7,-3-tr-1189479",null,+4 %,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png
1189581,"[59.338033473708094,18.014385958616153]",Sankt Göransgatan 153,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 650 000 kr</span>,Slutpris 4 650 000 kr,71 538 kr/m²,3 090 kr/mån,Såld 2020-05-20,Begärt pris 4 750 000 kr,4 rum,65 m²,null,/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-sankt-goransgatan-153-1189581,null,-2 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png
1189711,"[59.33291632197127,18.038537183991366]",Celsiusgatan 3A,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 400 000 kr</span>,Slutpris 3 400 000 kr,113 333 kr/m²,1 197 kr/mån,Såld 2020-05-21,Begärt pris 2 995 000 kr,2 rum,30 m²,null,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-celsiusgatan-3a-1189711,null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg
1189714,"[59.33716148623841,18.029893060794006]","Industrigatan 10, 3 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 5 850 000 kr</span>,Slutpris 5 850 000 kr,86 029 kr/m²,3 943 kr/mån,Såld 2020-05-21,Begärt pris 5 495 000 kr,3 rum,68 m²,null,"/salda/lagenhet-3rum-kungsholmen-kungsholms-strand-stockholms-kommun-industrigatan-10,-3-tr-1189714",null,+6 %,https://bilder.hemnet.se/images/broker_logo_2/b6/56/b656d8b9f26d099a415a7546b5d620a2.png
1189775,"[59.332945830688416,18.040738269732955]","Wargentinsgatan 7, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 050 000 kr</span>,Slutpris 4 050 000 kr,93 103 kr/m²,2 532 kr/mån,Såld 2020-05-21,Begärt pris 3 695 000 kr,2 rum,"43,5 m²",null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-wargentinsgatan-7,-3tr-1189775",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png
