id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url,price_change,floor,location_part,street_id,latitude,longitude
1254267,"[59.33025301439146,18.051365784079618]",Kungsbro Strand 17,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3375000,Slutpris 3 375 000 kr,96429,2775,2020-09-18,2950000,2,35,0,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsbro-strand-17-1254267,null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/70/88/7088fe6ff6a4c2413ceb8481b3a51c7b.png,14,0,Kungsholmen,kungsbrostrand,59.33025301439146,18.051365784079618
1254402,"[59.33158449107019,18.02742640451628]",Fridhemsplan 25,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3850000,Slutpris 3 850 000 kr,87500,2561,2020-09-18,3800000,2,44,0,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-fridhemsplan-25-1254402,null,+1 %,https://bilder.hemnet.se/images/broker_logo_2/29/ef/29ef6ea0936106a0033c5f69a2feda85.png,1,0,Kungsholmen,fridhemsplan,59.33158449107019,18.02742640451628
1254592,"[59.33374599116455,18.036870115423177]","Fleminggatan 59, vån 4",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",8800000,Slutpris 8 800 000 kr,112821,3100,2020-09-18,7695000,3,78,0,"/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-fleminggatan-59,-van-4-1254592",null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,14,4,Kungsholmen,fleminggatan,59.33374599116455,18.036870115423177
1254597,"[59.329975811892446,18.04708506789263]","Kungsklippan 11, vån 4",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",2450000,Slutpris 2 450 000 kr,102083,1731,2020-09-18,2450000,1,24,0,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-kungsklippan-11,-van-4-1254597",null,,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,0,4,Kungsholmen,kungsklippan,59.329975811892446,18.04708506789263
1254602,"[59.33424171772101,18.04335169702159]",Ivan Oljelunds gränd 2,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",7500000,Slutpris 7 500 000 kr,102041,6002,2020-09-18,7500000,3,73.5,0,/salda/lagenhet-3rum-stockholms-kommun-ivan-oljelunds-grand-2-1254602,null,,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,0,0,Kungsholmen,ivanoljelundsgrnd,59.33424171772101,18.04335169702159
1254625,"[59.33672298320306,18.02517518740707]","Igeldammsgatan 16, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4100000,Slutpris 4 100 000 kr,100000,1921,2020-09-18,3649000,2,41,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-igeldammsgatan-16,-4-tr-1254625",null,+12 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png,12,4,Kungsholmen,igeldammsgatan,59.33672298320306,18.02517518740707
1254633,"[59.328949605568376,18.00422539536203]","Stagneliusvägen 43, accepterat pris",Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",3200000,Slutpris 3 200 000 kr,94118,946,2020-09-18,3200000,2,34,0,"/salda/lagenhet-2rum-stockholms-kommun-stagneliusvagen-43,-accepterat-pris-1254633",null,,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png,0,0,Fredhäll,stagneliusvgen,59.328949605568376,18.00422539536203
1254788,"[59.328940232917596,18.004242152659078]",Stagneliusvägen 43 7tr,Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",3310000,Slutpris 3 310 000 kr,106774,728,2020-09-19,2850000,1,31,0,/salda/lagenhet-1rum-fredhall-kungsholmen-stockholms-kommun-stagneliusvagen-43-7tr-1254788,null,+16 %,https://bilder.hemnet.se/images/broker_logo_2/09/8d/098d01e00641ae617706acaf23bb6915.png,16,0,Fredhäll,stagneliusvgen,59.328940232917596,18.004242152659078
1254972,"[59.33631335259679,18.01493701395306]",Kellgrensgatan 10. 9 tr,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4200000,Slutpris 4 200 000 kr,78505,3473,2020-09-20,4295000,2,53.5,0,"/salda/lagenhet-2rum-kungsholmen-hornsbergs-strand-stockholms-kommun-kellgrensgatan-10,-9-tr-1254972",null,-2 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,-2,0,Kungsholmen,kellgrensgatan,59.33631335259679,18.01493701395306
1255085,"[59.33491352611594,18.027634877312668]",Fleminggatan 107,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",6050000,Slutpris 6 050 000 kr,96032,2863,2020-09-20,5895000,3,63,0,/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-fleminggatan-107-1255085,null,+3 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png,3,0,Kungsholmen,fleminggatan,59.33491352611594,18.027634877312668
1255092,"[59.33288417585497,18.03798909739764]","Polhemsgatan 34, 8 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",6100000,Slutpris 6 100 000 kr,95313,3775,2020-09-20,5795000,2,64,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-polhemsgatan-34,-8-tr-1255092",null,+5 %,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png,5,8,Kungsholmen,polhemsgatan,59.33288417585497,18.03798909739764
